name,degree_centrality,season
Marge_Simpson,0.4117647058823529,1
Charles_Montgomery_Burns,0.1764705882352941,1
Bart_Simpson,0.9411764705882353,1
Homer_Simpson,0.6470588235294118,1
Martin_Prince,0.058823529411764705,1
Marvin_Monroe,0.058823529411764705,1
Abraham_Simpson_II,0.23529411764705882,1
Nelson_Muntz,0.23529411764705882,1
Lisa_Simpson,0.5882352941176471,1
Herman_Hermann,0.23529411764705882,1
Bleeding_Gums_Murphy,0.23529411764705882,1
Maggie_Simpson,0.11764705882352941,1
Jebediah_Springfield,0.058823529411764705,1
Princess_Kashmir,0.1764705882352941,1
Seymour_Skinner,0.058823529411764705,1
Robert_Terwilliger,0.23529411764705882,1
Krusty_the_Clown,0.23529411764705882,1
Lucille_Botzcowski,0.23529411764705882,1
