name,value
Comic Book Guy,0.05
Homer Simpson,0.8
Bart Simpson,0.65
Lisa Simpson,0.55
Moe Szyslak,0.30000000000000004
Marge Simpson,0.35000000000000003
Groundskeeper Willie,0.1
Cletus Spuckler,0.1
Maggie Simpson,0.2
Princess Penelope,0.30000000000000004
Carl Carlson,0.30000000000000004
Lenny Leonard,0.30000000000000004
Krusty the Clown,0.30000000000000004
Milhouse Van Houten,0.5
Milford Van Houten,0.2
Eliza Simpson,0.2
Virgil Simpson,0.2
Edna Krabappel,0.15000000000000002
Ned Flanders,0.15000000000000002
"Timothy Lovejoy, Jr.",0.15000000000000002
Apu Nahasapeemapetilon,0.15000000000000002
