name,value
Maggie Simpson,0.46428571428571425
Homer Simpson,0.6785714285714285
Clancy Wiggum,0.14285714285714285
Mr. Burns,0.25
"Waylon Smithers, Jr.",0.14285714285714285
Rainier Wolfcastle,0.14285714285714285
Radioactive Man (character),0.14285714285714285
Fallout Boy,0.14285714285714285
Milhouse Van Houten,0.3214285714285714
Bart Simpson,0.75
Maude Flanders,0.2857142857142857
Rod Flanders,0.2857142857142857
Marge Simpson,0.3571428571428571
Todd Flanders,0.2857142857142857
Lisa Simpson,0.5714285714285714
Ned Flanders,0.2857142857142857
Moe Szyslak,0.07142857142857142
Apu Nahasapeemapetilon,0.07142857142857142
Lard Lad,0.17857142857142855
Groundskeeper Willie,0.17857142857142855
Mona Simpson,0.10714285714285714
Sideshow Bob,0.07142857142857142
Krusty the Clown,0.03571428571428571
Jebediah Springfield,0.07142857142857142
Lionel Hutz,0.03571428571428571
Selma Bouvier,0.03571428571428571
Troy McClure,0.03571428571428571
Nelson Muntz,0.17857142857142855
Martin Prince,0.17857142857142855
