name,value
Milhouse Van Houten,0.05714285714285714
Bart Simpson,0.8571428571428571
Homer Simpson,0.6571428571428571
Mona Simpson,0.02857142857142857
Lisa Simpson,0.7999999999999999
Patty Bouvier,0.19999999999999998
Selma Bouvier,0.19999999999999998
Maggie Simpson,0.4857142857142857
Marge Simpson,0.5142857142857142
Cletus Spuckler,0.19999999999999998
Moe Szyslak,0.37142857142857144
Rainier Wolfcastle,0.37142857142857144
Lenny Leonard,0.37142857142857144
Carl Carlson,0.37142857142857144
Julius Hibbert,0.37142857142857144
Snake Jailbird,0.37142857142857144
Barney Gumble,0.37142857142857144
Disco Stu,0.37142857142857144
Krusty the Clown,0.37142857142857144
Groundskeeper Willie,0.37142857142857144
Ned Flanders,0.05714285714285714
Lindsey Naegle,0.02857142857142857
Snowball II,0.08571428571428572
Kirk Van Houten,0.2857142857142857
Luann Van Houten,0.2857142857142857
Ralph Wiggum,0.2857142857142857
Edna Krabappel,0.2857142857142857
Kearney Zzyzwicz,0.2857142857142857
Jimbo Jones,0.2857142857142857
Dolph Starbeam,0.2857142857142857
Nelson Muntz,0.2857142857142857
Artie Ziff,0.02857142857142857
Gina Vendetti,0.02857142857142857
The Rich Texan,0.11428571428571428
Poor Violet,0.11428571428571428
Mr. Burns,0.0
