name,value
Apu Nahasapeemapetilon,0.19047619047619047
Seymour Skinner,0.38095238095238093
Homer Simpson,0.7142857142857142
Clancy Wiggum,0.3333333333333333
Barney Gumble,0.19047619047619047
Bart Simpson,0.5714285714285714
Sideshow Bob,0.047619047619047616
Mr. Burns,0.3333333333333333
Maggie Simpson,0.14285714285714285
Bobo (Dog),0.14285714285714285
Ned Flanders,0.23809523809523808
Marge Simpson,0.47619047619047616
Lionel Hutz,0.19047619047619047
Ruth Powers,0.19047619047619047
Mindy Simmons,0.19047619047619047
Martin Prince,0.19047619047619047
Lisa Simpson,0.19047619047619047
Krusty the Clown,0.047619047619047616
"Waylon Smithers, Jr.",0.047619047619047616
Gary Chalmers,0.14285714285714285
Freddy Quimby,0.09523809523809523
Abe,0.09523809523809523
