name,value
Ned Flanders,0.358974358974359
Bart Simpson,0.717948717948718
Lisa Simpson,0.4615384615384615
Allison Taylor,0.05128205128205128
Homer Simpson,0.7948717948717948
Ralph Wiggum,0.05128205128205128
Mindy Simmons,0.05128205128205128
Marge Simpson,0.358974358974359
Joe Quimby,0.07692307692307693
Sideshow Bob,0.07692307692307693
Doris Freedman,0.20512820512820512
Seymour Skinner,0.28205128205128205
Mr. Burns,0.3333333333333333
Milhouse Van Houten,0.4615384615384615
"Waylon Smithers, Jr.",0.23076923076923075
Groundskeeper Willie,0.2564102564102564
Jessica Lovejoy,0.02564102564102564
Abe,0.3333333333333333
Lenny Leonard,0.05128205128205128
Carl Carlson,0.05128205128205128
Maggie Simpson,0.05128205128205128
Krusty the Clown,0.02564102564102564
Patty Bouvier,0.10256410256410256
Selma Bouvier,0.10256410256410256
Jay Sherman,0.10256410256410256
Barney Gumble,0.10256410256410256
Greyhound Puppies,0.07692307692307693
Edna Krabappel,0.07692307692307693
Bleeding Gums Murphy,0.05128205128205128
Herman Hermann,0.07692307692307693
Clancy Wiggum,0.07692307692307693
Martha Prince,0.3076923076923077
Maude Flanders,0.3076923076923077
Nelson Muntz,0.3076923076923077
Kirk Van Houten,0.3076923076923077
Todd Flanders,0.3076923076923077
Luann Van Houten,0.3076923076923077
Martin Prince,0.3076923076923077
Jebediah Springfield,0.3076923076923077
Moe Szyslak,0.1794871794871795
