name,value
Lisa Simpson,0.6428571428571428
Homer Simpson,0.6428571428571428
Homer Jr.,0.07142857142857142
Isabel Gutierrez,0.07142857142857142
Bart Simpson,0.6428571428571428
Krusty the Clown,0.21428571428571427
Marge Simpson,0.6428571428571428
Comic Book Guy,0.07142857142857142
Kumiko Albertson,0.07142857142857142
Mr. Burns,0.21428571428571427
Sideshow Bob,0.14285714285714285
Nelson Muntz,0.14285714285714285
Milhouse Van Houten,0.42857142857142855
Lucas Bortner,0.42857142857142855
Snake Jailbird,0.42857142857142855
