name,value
Krusty the Clown,0.1764705882352941
Rabbi Hyman Krustofsky,0.1764705882352941
Lisa Simpson,0.5882352941176471
Homer Simpson,0.7647058823529411
Marge Simpson,0.47058823529411764
Bart Simpson,0.6470588235294118
Maxine Lombard,0.11764705882352941
Mr. Burns,0.23529411764705882
Milhouse Van Houten,0.29411764705882354
Jack Lassen,0.11764705882352941
Moe Szyslak,0.1764705882352941
Kodos,0.058823529411764705
Maggie Simpson,0.3529411764705882
Carl Carlson,0.3529411764705882
Lenny Leonard,0.3529411764705882
Ned Flanders,0.1764705882352941
Annika Van Houten,0.1764705882352941
Abe,0.1764705882352941
