name,value
Marge Simpson,0.7222222222222222
Bart Simpson,0.611111111111111
Lisa Simpson,0.611111111111111
Maggie Simpson,0.16666666666666666
Mrs. Muntz,0.2777777777777778
Edna Krabappel,0.2777777777777778
Nelson Muntz,0.2777777777777778
Homer Simpson,0.7777777777777777
Abe,0.2777777777777778
Apu Nahasapeemapetilon,0.2777777777777778
Mr. Burns,0.5555555555555556
"Waylon Smithers, Jr.",0.2777777777777778
Ned Flanders,0.3333333333333333
Moe Szyslak,0.1111111111111111
Kirk Van Houten,0.16666666666666666
Patty Bouvier,0.05555555555555555
Julius Hibbert,0.3333333333333333
Selma Bouvier,0.3333333333333333
Krusty the Clown,0.1111111111111111
