name,value
Martin Prince,0.16666666666666666
Bart Simpson,0.7222222222222222
Lisa Simpson,0.4444444444444444
Homer Simpson,0.7222222222222222
Kodos,0.16666666666666666
Mr. Burns,0.1111111111111111
Todd Flanders,0.2222222222222222
Ned Flanders,0.2222222222222222
Captain Lance Murdock,0.1111111111111111
Maggie Simpson,0.2222222222222222
Marge Simpson,0.3333333333333333
Lionel Hutz,0.16666666666666666
Artie Ziff,0.16666666666666666
Patty Bouvier,0.1111111111111111
Selma Bouvier,0.1111111111111111
Seymour Skinner,0.1111111111111111
Herbert Powell,0.05555555555555555
Abe,0.05555555555555555
Milhouse Van Houten,0.1111111111111111
