name,value
Hugo Simpson II,0.15625
Lisa Simpson,0.34375
Homer Simpson,0.90625
Julius Hibbert,0.15625
Bart Simpson,0.75
Kodos,0.15625
Hank Scorpio,0.03125
Moe Szyslak,0.375
Drederick Tatum,0.09375
Larry Burns,0.0625
Mr. Burns,0.25
Marge Simpson,0.5
Kirk Van Houten,0.125
Luann Van Houten,0.125
Milhouse Van Houten,0.28125
Nelson Muntz,0.09375
Gary Chalmers,0.09375
Ned Flanders,0.0625
Fat Tony,0.0625
Maggie Simpson,0.34375
Shary Bobbins,0.15625
Cecil Terwilliger,0.0625
Sideshow Bob,0.0625
Rex Banner,0.09375
Clancy Wiggum,0.3125
Edna Krabappel,0.0625
Seymour Skinner,0.3125
Lenny Leonard,0.1875
Carl Carlson,0.1875
Frank Grimes,0.1875
Troy McClure,0.28125
Abe,0.28125
Ralph Wiggum,0.28125
