name,value
Marge Simpson,0.2987970754230171
Mr. Burns,0.14346958739422905
Bart Simpson,0.46221500483230377
Homer Simpson,0.44882659623570914
Martin Prince,0.1442600379156271
Abe,0.07068059924572882
Lisa Simpson,0.35833953901809845
Maggie Simpson,0.24695447756779568
Seymour Skinner,1.0064071822297632e-06
Kodos,0.19990037041353514
Todd Flanders,0.23726438491714633
Ned Flanders,0.23726438491714633
Captain Lance Murdock,0.14346958739422905
Lionel Hutz,0.19052369454848958
Artie Ziff,0.19052369454848958
Patty Bouvier,1.0064071822297632e-06
Selma Bouvier,1.0064071822297632e-06
Herbert Powell,0.07068059924572882
Milhouse Van Houten,0.09550683424202817
