name,value
Marge Simpson,0.25795737162289567
Mr. Burns,0.07918752463507935
Bart Simpson,0.4639897371739631
Homer Simpson,0.46871790145875497
Martin Prince,0.1896098738081
Lisa Simpson,0.33621282514137124
Maggie Simpson,0.25795737162289567
Patty Bouvier,0.2616493273670112
Milhouse Van Houten,0.12566082157433534
Moe Szyslak,0.2798106860405918
Mona Simpson,0.07918752463507935
Jasper Beardly,0.1896098738081
Jimbo Jones,0.1896098738081
Shauna Chalmers,0.1896098738081
Annie Dubinsky,2.4656337946673603e-11
