name,value
Marge Simpson,0.3817141953201472
Mr. Burns,0.17358691353574054
Bart Simpson,0.38938746833516963
Homer Simpson,0.3817141953201472
Nelson Muntz,0.1161097496654702
Lisa Simpson,0.37372613388101533
Sideshow Bob,0.113751538793853
Krusty the Clown,0.17238412412892873
Milhouse Van Houten,0.328914732364486
Snake Jailbird,0.328914732364486
Comic Book Guy,4.711671421383409e-07
Homer Jr.,0.05747716433039449
Isabel Gutierrez,0.05627437492358268
Kumiko Albertson,4.711671421383409e-07
Lucas Bortner,0.328914732364486
