name,value
Marge Simpson,0.23285908378016618
Bart Simpson,0.39298848752145804
Homer Simpson,0.5027186649986193
Abe,0.23285908378016618
Lisa Simpson,0.39298848752145804
Maggie Simpson,0.14224446767068738
Ned Flanders,0.2965641436301628
Milhouse Van Houten,0.1420206699246958
Moe Szyslak,0.11087253907189044
Barney Gumble,0.23285908378016618
Ralph Wiggum,0.1420206699246958
Apu Nahasapeemapetilon,4.7681454404326074e-11
Lenny Leonard,0.14224446767068738
Carl Carlson,0.14224446767068738
Maude Flanders,0.17627825201698383
Manjula Nahasapeemapetilon,4.7681454404326074e-11
Rachel Jordan,0.17627825201698383
Duff McShark,0.11087253907189044
