name,value
Marge Simpson,0.1769687014107774
Bart Simpson,0.24868405608270894
Homer Simpson,0.503958568089061
Nelson Muntz,0.044246465261748746
Lisa Simpson,0.24200071312730104
Maggie Simpson,0.21527004839700697
Ned Flanders,0.08966489827415404
Fat Tony,0.08966489827415404
Moe Szyslak,0.31099196463569556
Barney Gumble,0.31099196463569556
Apu Nahasapeemapetilon,3.0627075083681518e-24
Lenny Leonard,0.31099196463569556
Carl Carlson,0.31099196463569556
Kirk Van Houten,0.31099196463569556
Snake Jailbird,0.21527004839700697
Loch Ness Monster,3.0627075083681518e-24
