name,value
Marge Simpson,0.12611673017569183
Mr. Burns,0.15449232210311317
Bart Simpson,0.3262585092828969
Homer Simpson,0.33213953475314034
Martin Prince,0.22187107488629262
Abe,0.23063268141550342
Nelson Muntz,0.22187107488629262
Lisa Simpson,0.18177145523418625
Herman Hermann,0.03697307669959121
Bleeding Gums Murphy,0.03792877963708396
Maggie Simpson,0.038367850605750306
Jebediah Springfield,0.22187107488629262
Seymour Skinner,0.1559123472868213
Sideshow Bob,0.040988976064069434
Krusty the Clown,0.024796964583641397
Todd Flanders,0.22187107488629262
Ned Flanders,0.24533072353178187
Patty Bouvier,0.06329621510777171
Selma Bouvier,0.06329621510777171
Milhouse Van Houten,0.28438193303784
Moe Szyslak,0.10677586508232445
Groundskeeper Willie,0.14418685392978703
Edna Krabappel,0.04956903261062749
Barney Gumble,0.049437983486899297
Ralph Wiggum,0.010175441519976104
Clancy Wiggum,0.03697307669959121
Mindy Simmons,0.010175441519976104
"Waylon Smithers, Jr.",0.13542524740057627
Allison Taylor,0.038367850605750306
Joe Quimby,0.040988976064069434
Doris Freedman,0.12800726874464133
Jessica Lovejoy,0.02435789361497505
Lenny Leonard,0.026797635179615118
Carl Carlson,0.026797635179615118
Jay Sherman,0.049437983486899297
Greyhound Puppies,0.04946305289327818
Martha Prince,0.22187107488629262
Maude Flanders,0.22187107488629262
Kirk Van Houten,0.22187107488629262
Luann Van Houten,0.22187107488629262
