name,value
Marge Simpson,0.3815263420175847
Mr. Burns,0.28786929776836695
Bart Simpson,0.36650079011419057
Homer Simpson,0.3839258256667951
Abe,0.25212722960323025
Lisa Simpson,0.3989301922263374
Maggie Simpson,0.17327981727068917
Krusty the Clown,0.2995370404095468
Selma Bouvier,0.16252516629894767
Llewellyn Sinclair,0.07845274469393695
Barney Gumble,0.054289089336444565
Nick Riviera,0.054289089336444565
Lyle Lanley,0.2053559720959438
Ralph Wiggum,0.05641089165765574
"Roger Meyers, Jr.",0.25212722960323025
