name,value
Marge Simpson,0.3935237355631156
Mr. Burns,0.27618237222090253
Bart Simpson,0.3851111607717701
Homer Simpson,0.41296012564984097
Abe,0.18068286185867097
Lisa Simpson,0.3536326867163382
Maggie Simpson,0.06688442918631195
Krusty the Clown,0.30732478124681323
Milhouse Van Houten,0.07380935331782777
Moe Szyslak,0.1222880248934222
"Waylon Smithers, Jr.",0.27618237222090253
Kirk Van Houten,0.07380935331782777
"Timothy Lovejoy, Jr.",0.06688442918631195
Kent Brockman,0.28090489106437927
Sophie Krustofsky,0.06688442918631195
Agnes Skinner,0.05839483696524909
