name,value
Marge Simpson,0.16965076580542332
Mr. Burns,1.0369432331574581e-28
Bart Simpson,0.32549672658711104
Homer Simpson,0.26931874501404424
Nelson Muntz,0.11111242752784581
Lisa Simpson,0.3213176579954492
Maggie Simpson,0.2502978620998331
Krusty the Clown,0.2180951717347214
Ned Flanders,0.030594054841516168
Artie Ziff,0.01182392546183295
Patty Bouvier,0.10820045339814315
Selma Bouvier,0.10820045339814315
Milhouse Van Houten,0.041455676354271165
Moe Szyslak,0.2180951717347214
Groundskeeper Willie,0.2180951717347214
Edna Krabappel,0.11111242752784581
Barney Gumble,0.2180951717347214
Ralph Wiggum,0.11111242752784581
Lenny Leonard,0.2180951717347214
Carl Carlson,0.2180951717347214
Kirk Van Houten,0.11111242752784581
Luann Van Houten,0.11111242752784581
Rainier Wolfcastle,0.2180951717347214
Mona Simpson,0.01877012937968322
Julius Hibbert,0.2180951717347214
Snake Jailbird,0.2180951717347214
Snowball II,0.06384996246814637
Cletus Spuckler,0.10820045339814316
Disco Stu,0.2180951717347214
Lindsey Naegle,0.01182392546183295
Kearney Zzyzwicz,0.11111242752784581
Jimbo Jones,0.11111242752784581
Dolph Starbeam,0.11111242752784581
Gina Vendetti,0.02268554697458794
The Rich Texan,0.06863337305454248
Poor Violet,0.06863337305454248
