name,value
Marge Simpson,0.22444677116739684
Bart Simpson,0.39212366371551477
Homer Simpson,0.4220054668137022
Lisa Simpson,0.30270962590227324
Maggie Simpson,0.17598430101585952
Krusty the Clown,0.2451091530403022
Ned Flanders,0.1465355119172979
Milhouse Van Houten,0.31868269505800473
Moe Szyslak,0.20066026772726764
Groundskeeper Willie,0.08089748548940347
Edna Krabappel,0.13626687048146666
Apu Nahasapeemapetilon,0.09403522474693349
Lenny Leonard,0.2451091530403022
Carl Carlson,0.2451091530403022
Comic Book Guy,0.055369384992063446
Cletus Spuckler,0.09508681552645631
"Timothy Lovejoy, Jr.",0.09403522474693349
Princess Penelope,0.2451091530403022
Milford Van Houten,0.11053663791997824
Eliza Simpson,0.11053663791997824
Virgil Simpson,0.11053663791997824
