name,value
Marge Simpson,0.33691355461854633
Bart Simpson,0.34853836845125785
Homer Simpson,0.34868621151289647
Abe,0.05590003527255621
Nelson Muntz,0.11962523533646023
Lisa Simpson,0.32735676830549393
Seymour Skinner,5.207036563986386e-13
Krusty the Clown,0.04106385121594934
Ned Flanders,0.31855075820325873
Patty Bouvier,0.3059471483508632
Selma Bouvier,0.3059471483508632
Milhouse Van Houten,0.08211030812005803
Moe Szyslak,0.3059471483508632
Barney Gumble,0.04106385121594934
Ralph Wiggum,0.08072404806237764
Apu Nahasapeemapetilon,0.09139719401467922
Joe Quimby,0.3059471483508632
Snake Jailbird,0.12178789927780628
Jasper Beardly,0.05590003527255621
