name,value
Marge Simpson,0.2832043851763758
Bart Simpson,0.43478435525327497
Homer Simpson,0.4209982434969883
Martin Prince,0.1315797046097917
Nelson Muntz,0.1315797046097917
Lisa Simpson,0.3479747584586572
Maggie Simpson,0.2832043851763758
Seymour Skinner,0.11406059010088794
Krusty the Clown,0.057940994798860605
Ned Flanders,0.11404470904380372
Patty Bouvier,0.2721689345660977
Selma Bouvier,0.2721689345660977
Herbert Powell,0.09384453072715737
Milhouse Van Houten,0.18508197489948924
Leon Kompowsky,0.16041708823022408
Fat Tony,0.07314127571625001
Moe Szyslak,0.05610371424515172
Groundskeeper Willie,0.057940994798860605
Edna Krabappel,0.11404470904380372
Lurleen Lumpkin,0.09384453072715737
Otto Mann,0.057940994798860605
Samantha Stankey,0.18508197489948924
