name,value
Marge Simpson,0.30314205144952316
Mr. Burns,0.17197883664071933
Bart Simpson,0.47282063970000693
Homer Simpson,0.3827722058234057
Martin Prince,0.07017596692872606
Marvin Monroe,0.05681073197116341
Abe,0.1810128625115227
Nelson Muntz,0.1810128625115227
Lisa Simpson,0.38474818288805096
Herman Hermann,0.1810128625115227
Bleeding Gums Murphy,0.22908323998936853
Maggie Simpson,0.12698669889913422
Jebediah Springfield,0.07017596692872606
Princess Kashmir,0.17197883664071933
Seymour Skinner,0.07017596692872606
Sideshow Bob,0.21617592625688478
Krusty the Clown,0.21617592625688478
Lucille Botzcowski,0.22908323998936853
