name,value
Marge Simpson,0.40276131436009344
Mr. Burns,0.12651265240655607
Bart Simpson,0.36323068827250465
Homer Simpson,0.3867720193315331
Lisa Simpson,0.3278829632506231
Maggie Simpson,0.20448802498675775
Seymour Skinner,0.27619187134959816
Sideshow Bob,0.12651265240655607
Todd Flanders,0.23823622940847936
Ned Flanders,0.3340108543403126
Fat Tony,0.10904022562368534
Groundskeeper Willie,0.11074217126581118
Rod Flanders,0.23823622940847936
Mona Simpson,0.053416014743433785
Coach Krupt,0.11074217126581118
"Timothy Lovejoy, Jr.",0.18518045893829427
