name,value
Marge Simpson,0.3853769697183915
Bart Simpson,0.36673069196344765
Homer Simpson,0.4066192619638606
Martin Prince,0.22207280170403773
Nelson Muntz,0.2864783258585868
Lisa Simpson,0.30189174441207167
Maggie Simpson,0.1006702602888526
Krusty the Clown,0.13667350484368115
Ned Flanders,0.2614339734378868
Milhouse Van Houten,0.3096626695229897
Moe Szyslak,0.05168516303350517
Lurleen Lumpkin,0.1006702602888526
Ralph Wiggum,1.0408006577074422e-11
Kirk Van Houten,0.21382591221795416
Luann Van Houten,0.21382591221795416
Comic Book Guy,0.1006702602888526
Donny (The Debarted),0.14728523699211876
