name,value
Marge Simpson,0.35145452560730617
Bart Simpson,0.3703629534127874
Homer Simpson,0.37381435113133726
Lisa Simpson,0.27890685560520856
Maggie Simpson,0.15813937282235843
Krusty the Clown,0.27890685560520856
Ned Flanders,0.14838598326821933
Milhouse Van Houten,0.09746605284170104
Moe Szyslak,0.15813937282235843
Ralph Wiggum,0.27890685560520856
Apu Nahasapeemapetilon,0.27890685560520856
Kirk Van Houten,0.15813937282235843
Rainier Wolfcastle,0.06586579824180412
Manjula Nahasapeemapetilon,0.27890685560520856
Duff McShark,0.09386374029204742
Cookie Kwan,0.06586579824180412
Miss Springfield,0.27890685560520856
Snowball II,0.09386374029204742
