name,value
Marge Simpson,0.34186987925753204
Mr. Burns,0.14261150294630756
Bart Simpson,0.3765586158886229
Homer Simpson,0.4199276479907476
Abe,0.08898897422424473
Lisa Simpson,0.3653010005197291
Maggie Simpson,0.3047406082833328
Krusty the Clown,0.13232176439537313
Kodos,0.06055870282373961
Ned Flanders,0.16416523501630925
Milhouse Van Houten,0.15151359005688514
Moe Szyslak,0.13042669745720753
Lenny Leonard,0.3047406082833328
Carl Carlson,0.3047406082833328
Rabbi Hyman Krustofsky,0.13232176439537313
Maxine Lombard,0.07324694100680086
Jack Lassen,0.07615528733471791
Annika Van Houten,0.08898897422424473
