name,value
Marge Simpson,0.3764125666607336
Mr. Burns,0.32538125145283175
Bart Simpson,0.3443438954518421
Homer Simpson,0.36656516721414983
Abe,0.14954095788559252
Nelson Muntz,0.1793112970018074
Lisa Simpson,0.3389258207855612
Maggie Simpson,0.1339720646710412
Krusty the Clown,0.08919312569585519
Ned Flanders,0.19178837319136183
Patty Bouvier,0.04634389135827011
Selma Bouvier,0.2535026353551283
Moe Szyslak,0.09393250122660854
Edna Krabappel,0.1793112970018074
Apu Nahasapeemapetilon,0.14954095788559252
"Waylon Smithers, Jr.",0.14954095788559252
Kirk Van Houten,0.1374667216917262
Julius Hibbert,0.2535026353551283
Mrs. Muntz,0.1793112970018074
