name,value
Marge Simpson,0.2677727148824389
Mr. Burns,0.163177499453218
Bart Simpson,0.3698265377242218
Homer Simpson,0.37062155213964837
Martin Prince,0.14220714226968612
Nelson Muntz,0.14220714226968612
Lisa Simpson,0.33662612229618954
Maggie Simpson,0.3074850499471538
Jebediah Springfield,0.07256790475529794
Sideshow Bob,0.07248650972866863
Krusty the Clown,0.03794659876135122
Todd Flanders,0.24493423631240963
Ned Flanders,0.24493423631240968
Lionel Hutz,0.03794659876135122
Selma Bouvier,2.534486256412839e-12
Milhouse Van Houten,0.16666617909052026
Moe Szyslak,0.0550478018079295
Groundskeeper Willie,0.15830755107379815
Apu Nahasapeemapetilon,0.07256790475529794
Clancy Wiggum,0.09619029764355153
"Waylon Smithers, Jr.",0.09619029764355153
Maude Flanders,0.24493423631240963
Rainier Wolfcastle,0.06926145012037359
Radioactive Man (character),0.06926145012037359
Fallout Boy,0.06926145012037359
Rod Flanders,0.24493423631240963
Lard Lad,0.15830755107379815
Mona Simpson,0.08224594173574691
Troy McClure,2.534486256412839e-12
