name,value
Marge Simpson,0.1273015873015873
Mr. Burns,0.0673015873015873
Bart Simpson,0.313968253968254
Homer Simpson,0.33841269841269844
Martin Prince,0.0
Abe,0.0
Lisa Simpson,0.09523809523809525
Maggie Simpson,0.0
Seymour Skinner,0.07714285714285712
Sideshow Bob,0.0
Krusty the Clown,0.0
Ned Flanders,0.013650793650793655
Lionel Hutz,0.0
Barney Gumble,0.0
Apu Nahasapeemapetilon,0.0
Clancy Wiggum,0.02888888888888889
Bobo (Dog),0.0
Ruth Powers,0.0
Mindy Simmons,0.0
"Waylon Smithers, Jr.",0.0
Gary Chalmers,0.0
Freddy Quimby,0.0
