name,value
Marge Simpson,0.13540260908681967
Mr. Burns,0.027803483066640957
Bart Simpson,0.254591607223186
Homer Simpson,0.3759141443351968
Martin Prince,0.0
Abe,0.012483130904183536
Nelson Muntz,0.0
Lisa Simpson,0.09946340209498103
Herman Hermann,0.0
Bleeding Gums Murphy,0.0
Maggie Simpson,0.0
Jebediah Springfield,0.0
Seymour Skinner,0.007965426386479017
Sideshow Bob,0.0
Krusty the Clown,0.0
Todd Flanders,0.0
Ned Flanders,0.006005398110661269
Patty Bouvier,0.0
Selma Bouvier,0.0
Milhouse Van Houten,0.02305443094916779
Moe Szyslak,0.0
Groundskeeper Willie,0.0042992095623674564
Edna Krabappel,0.0
Barney Gumble,0.0
Ralph Wiggum,0.0
Clancy Wiggum,0.0
Mindy Simmons,0.0
"Waylon Smithers, Jr.",0.00038557933294775394
Allison Taylor,0.0
Joe Quimby,0.0
Doris Freedman,0.0
Jessica Lovejoy,0.0
Lenny Leonard,0.0
Carl Carlson,0.0
Jay Sherman,0.0
Greyhound Puppies,0.0
Martha Prince,0.0
Maude Flanders,0.0
Kirk Van Houten,0.0
Luann Van Houten,0.0
