name,value
Marge Simpson,0.02380952380952381
Bart Simpson,0.5007936507936509
Homer Simpson,0.32460317460317456
Martin Prince,0.0
Nelson Muntz,0.0
Lisa Simpson,0.048412698412698414
Maggie Simpson,0.02380952380952381
Seymour Skinner,0.002380952380952381
Krusty the Clown,0.0
Ned Flanders,0.0
Patty Bouvier,0.0
Selma Bouvier,0.0
Herbert Powell,0.0
Milhouse Van Houten,0.0
Leon Kompowsky,0.0
Fat Tony,0.0
Moe Szyslak,0.0
Groundskeeper Willie,0.0
Edna Krabappel,0.0
Lurleen Lumpkin,0.0
Otto Mann,0.0
Samantha Stankey,0.0
