name,value
Marge Simpson,0.017151675485008816
Mr. Burns,0.022751322751322748
Bart Simpson,0.35507054673721344
Homer Simpson,0.1934303350970017
Martin Prince,0.0
Nelson Muntz,0.0
Lisa Simpson,0.10105820105820106
Maggie Simpson,0.04466490299823632
Jebediah Springfield,0.0
Sideshow Bob,0.0
Krusty the Clown,0.0
Todd Flanders,0.0
Ned Flanders,0.0
Lionel Hutz,0.0
Selma Bouvier,0.0
Milhouse Van Houten,0.04365079365079365
Moe Szyslak,0.0
Groundskeeper Willie,0.0
Apu Nahasapeemapetilon,0.0
Clancy Wiggum,0.0
"Waylon Smithers, Jr.",0.0
Maude Flanders,0.0
Rainier Wolfcastle,0.0
Radioactive Man (character),0.0
Fallout Boy,0.0
Rod Flanders,0.0
Lard Lad,0.0
Mona Simpson,0.0
Troy McClure,0.0
