name,value
Marge Simpson,0.06898521505376344
Mr. Burns,0.011256720430107527
Bart Simpson,0.2796370967741935
Homer Simpson,0.4381048387096775
Abe,0.0
Nelson Muntz,0.0
Lisa Simpson,0.03141801075268817
Maggie Simpson,0.006048387096774193
Seymour Skinner,0.014717741935483872
Sideshow Bob,0.0
Kodos,0.0
Ned Flanders,0.0
Milhouse Van Houten,0.015423387096774193
Fat Tony,0.0
Moe Szyslak,0.0047043010752688165
Edna Krabappel,0.0
Ralph Wiggum,0.0
Clancy Wiggum,0.0047043010752688165
Gary Chalmers,0.0
Lenny Leonard,0.0
Carl Carlson,0.0
Kirk Van Houten,0.0
Luann Van Houten,0.0
Troy McClure,0.0
Hugo Simpson II,0.0
Julius Hibbert,0.0
Hank Scorpio,0.0
Drederick Tatum,0.0
Larry Burns,0.0
Shary Bobbins,0.0
Cecil Terwilliger,0.0
Rex Banner,0.0
Frank Grimes,0.0
