name,value
Marge Simpson,0.15546218487394958
Mr. Burns,0.0
Bart Simpson,0.2557422969187675
Homer Simpson,0.1574229691876751
Nelson Muntz,0.0
Lisa Simpson,0.169187675070028
Maggie Simpson,0.025210084033613446
Krusty the Clown,0.0
Ned Flanders,0.0
Artie Ziff,0.0
Patty Bouvier,0.0
Selma Bouvier,0.0
Milhouse Van Houten,0.0
Moe Szyslak,0.0
Groundskeeper Willie,0.0
Edna Krabappel,0.0
Barney Gumble,0.0
Ralph Wiggum,0.0
Lenny Leonard,0.0
Carl Carlson,0.0
Kirk Van Houten,0.0
Luann Van Houten,0.0
Rainier Wolfcastle,0.0
Mona Simpson,0.0
Julius Hibbert,0.0
Snake Jailbird,0.0
Snowball II,0.0
Cletus Spuckler,0.0
Disco Stu,0.0
Lindsey Naegle,0.0
Kearney Zzyzwicz,0.0
Jimbo Jones,0.0
Dolph Starbeam,0.0
Gina Vendetti,0.0
The Rich Texan,0.0
Poor Violet,0.0
