name,char_wiki_link,extra_wiki_link
Marvin Monroe,Marvin_Monroe,Marvin
Mervin Monroe,Mervin_Monroe,Mervin
Nelson Muntz,Nelson_Muntz,Nelson
Eddie Muntz,Eddie_Muntz,Eddie
Mrs. Muntz,Mrs._Muntz,Mrs.
Captain Lance Murdock,Captain_Lance_Murdock,Captain
Bleeding Gums Murphy,Bleeding_Gums_Murphy,Bleeding
Lindsey Naegle,Lindsey_Naegle,Lindsey
Manjula Nahasapeemapetilon,Manjula_Nahasapeemapetilon,Manjula
Sanjay Nahasapeemapetilon,Sanjay_Nahasapeemapetilon,Sanjay
The Nahasapeemapetilon Octuplets,The_Nahasapeemapetilon_Octuplets,The
Old Jewish Man,Old_Jewish_Man,Old
Number One,Number_One,Number
Opal,Opal,Opal
Otto Mann,Otto_Mann,Otto
MacArthur Parker,MacArthur_Parker,MacArthur
Patches,Patches,Patches
Lois Pennycandy,Lois_Pennycandy,Lois
Phillips,Phillips,Phillips
Plopper,Plopper,Plopper
Brunella Pommelhorst,Brunella_Pommelhorst,Brunella
Poochie,Poochie,Poochie
Ruth Powers,Ruth_Powers,Ruth
Janey Powell,Janey_Powell,Janey
Martha Prince,Martha_Prince,Martha
Martin Prince,Martin_Prince,Martin
"Martin Prince, Sr.","Martin_Prince,_Sr.",Martin
Principal Dondelinger,Principal_Dondelinger,Principal
J. Loren Pryor,J._Loren_Pryor,J.
Corporal Punishment,Corporal_Punishment,Corporal
Arnie Pye,Arnie_Pye,Arnie
Pyro,Pyro,Pyro
Freddy Quimby,Freddy_Quimby,Freddy
Joe Quimby,Joe_Quimby,Joe
Martha Quimby,Martha_Quimby,Martha
Radioactive Man (character),Radioactive_Man_(character),Radioactive
Raphael,Raphael,Raphael
Rasputin the Friendly Russian,Rasputin_the_Friendly_Russian,Rasputin
Rex Banner,Rex_Banner,Rex
Francine Rhenquist,Francine_Rhenquist,Francine
The Rich Texan,The_Rich_Texan,The
Richard,Richard,Richard
Roy,Roy,Roy
Luigi Risotto,Luigi_Risotto,Luigi
Nick Riviera,Nick_Riviera,Nick
Russ Cargill,Russ_Cargill,Russ
Sam (barfly),Sam_(barfly),Sam
Gerald Samson,Gerald_Samson,Gerald
Ms. Samson,Ms._Samson,Ms.
Hank Scorpio,Hank_Scorpio,Hank
Arnold Schwarzenegger,Arnold_Schwarzenegger,Arnold
Scratchy,Scratchy,Scratchy
Serak the Preparer,Serak_the_Preparer,Serak
Shary Bobbins,Shary_Bobbins,Shary
Shauna Chalmers,Shauna_Chalmers,Shauna
Shelby,Shelby,Shelby
Sherri Mackleberry,Sherri_Mackleberry,Sherri
Jay Sherman,Jay_Sherman,Jay
Dave Shutton,Dave_Shutton,Dave
Mindy Simmons,Mindy_Simmons,Mindy
Agnes Skinner,Agnes_Skinner,Agnes
Llewellyn Sinclair,Llewellyn_Sinclair,Llewellyn
Smilin' Joe Fission,Smilin%27_Joe_Fission,Smilin%27
"Waylon Smithers, Jr.","Waylon_Smithers,_Jr.",Waylon
Roy Snyder,Roy_Snyder,Roy
Bomb Disarming Robot,Bomb_Disarming_Robot,Bomb
Jebediah Springfield,Jebediah_Springfield,Jebediah
Miss Springfield,Miss_Springfield,Miss
Brandine Spuckler,Brandine_Spuckler,Brandine
Cletus Spuckler,Cletus_Spuckler,Cletus
Mary Spuckler,Mary_Spuckler,Mary
Dolph Starbeam,Dolph_Starbeam,Dolph
Lucius Sweet,Lucius_Sweet,Lucius
Drederick Tatum,Drederick_Tatum,Drederick
Allison Taylor,Allison_Taylor,Allison
Mr. Teeny,Mr._Teeny,Mr.
Terri Mackleberry,Terri_Mackleberry,Terri
Cecil Terwilliger,Cecil_Terwilliger,Cecil
Francesca Terwilliger,Francesca_Terwilliger,Francesca
Gino Terwilliger,Gino_Terwilliger,Gino
Johnny Tightlips,Johnny_Tightlips,Johnny
"Timothy Lovejoy, Jr.","Timothy_Lovejoy,_Jr.",Timothy
Tina Ballerina,Tina_Ballerina,Tina
Titania,Titania,Titania
Toshiro,Toshiro,Toshiro
Ugolin,Ugolin,Ugolin
Kirk Van Houten,Kirk_Van_Houten,Kirk
