no_overall,season,no_in_season,episode_name,airdate,viewers (millions)
616,28,20,Looking for Mr. Goodbart,"April 30, 2017 (2017-04-30)",2.30
617,28,21,Moho House,"May 7, 2017 (2017-05-07)",2.34
618,28,22,Dogtown,"May 21, 2017 (2017-05-21)",2.15
619,29,1,The Serfsons,"October 1, 2017 (2017-10-01)",3.26
620,29,2,Springfield Splendor,"October 8, 2017 (2017-10-08)",5.25
621,29,3,Whistler's Father,"October 15, 2017 (2017-10-15)",2.91
622,29,4,Treehouse of Horror XXVIII,"October 22, 2017 (2017-10-22)",3.66
623,29,5,Grampy Can Ya Hear Me,"November 5, 2017 (2017-11-05)",2.86
624,29,6,The Old Blue Mayor She Ain't What She Used to Be,"November 12, 2017 (2017-11-12)",4.75
625,29,7,Singin' in the Lane,"November 19, 2017 (2017-11-19)",2.67
626,29,8,Mr. Lisa's Opus,"December 3, 2017 (2017-12-03)",4.28
627,29,9,Gone Boy,"December 10, 2017 (2017-12-10)",6.06
628,29,10,Haw-Haw Land,"January 7, 2018 (2018-01-07)",6.95
629,29,11,Frink Gets Testy,"January 14, 2018 (2018-01-14)",8.04
630,29,12,Homer Is Where the Art Isn't,"March 18, 2018 (2018-03-18)",2.10
631,29,13,3 Scenes Plus a Tag from a Marriage,"March 25, 2018 (2018-03-25)",2.15
632,29,14,Fears of a Clown,"April 1, 2018 (2018-04-01)",2.06
633,29,15,No Good Read Goes Unpunished,"April 8, 2018 (2018-04-08)",2.15
634,29,16,King Leer,"April 15, 2018 (2018-04-15)",2.26
635,29,17,Lisa Gets the Blues,"April 22, 2018 (2018-04-22)",2.19
636,29,18,Forgive and Regret,"April 29, 2018 (2018-04-29)",2.47
637,29,19,Left Behind,"May 6, 2018 (2018-05-06)",2.15
638,29,20,Throw Grampa from the Dane,"May 13, 2018 (2018-05-13)",2.14
639,29,21,Flanders' Ladder,"May 20, 2018 (2018-05-20)",2.10
640,30,1,Bart's Not Dead,"September 30, 2018 (2018-09-30)",3.24
641,30,2,Heartbreak Hotel,"October 7, 2018 (2018-10-07)",4.60
642,30,3,My Way or the Highway to Heaven,"October 14, 2018 (2018-10-14)",2.52
643,30,4,Treehouse of Horror XXIX,"October 21, 2018 (2018-10-21)",2.95
644,30,5,Baby You Can't Drive My Car,"November 4, 2018 (2018-11-04)",5.08
645,30,6,From Russia Without Love,"November 11, 2018 (2018-11-11)",2.35
646,30,7,Werking Mom,"November 18, 2018 (2018-11-18)",4.34
647,30,8,Krusty the Clown,"November 25, 2018 (2018-11-25)",2.11
648,30,9,Daddicus Finch,"December 2, 2018 (2018-12-02)",4.33
649,30,10,'Tis the 30th Season,"December 9, 2018 (2018-12-09)",7.53
650,30,11,Mad About the Toy,"January 6, 2019 (2019-01-06)",2.33
651,30,12,The Girl on the Bus,"January 13, 2019 (2019-01-13)",8.20
652,30,13,I'm Dancing as Fat as I Can,"February 10, 2019 (2019-02-10)",1.75
653,30,14,The Clown Stays in the Picture,"February 17, 2019 (2019-02-17)",2.75
654,30,15,101 Mitigations,"March 3, 2019 (2019-03-03)",2.25
655,30,16,I Want You (She's So Heavy),"March 10, 2019 (2019-03-10)",2.21
656,30,17,E My Sports,"March 17, 2019 (2019-03-17)",2.08
657,30,18,Bart vs. Itchy & Scratchy,"March 24, 2019 (2019-03-24)",1.99
658,30,19,Girl's in the Band,"March 31, 2019 (2019-03-31)",2.07
659,30,20,I'm Just a Girl Who Can't Say D'oh,"April 7, 2019 (2019-04-07)",1.61
660,30,21,D'oh Canada,"April 28, 2019 (2019-04-28)",1.93
661,30,22,Woo-Hoo Dunnit?,"May 5, 2019 (2019-05-05)",1.79
662,30,23,Crystal Blue-Haired Persuasion,"May 12, 2019 (2019-05-12)",1.50
